date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-31,47.10321743257584,15.662293706049201,44.876423003853006,13.030254012153994,2.0912506691310355,0.08444623665143085,40.83698417358501
2016-08-31,47.71577859758049,15.79223589374814,45.67457995812098,13.424123292167982,1.6418817183102972,0.08644791728546543,42.95247886129605
2016-09-30,40.47633714477221,12.493637848397096,37.72668785452843,9.922563875218232,2.658416307220856,0.45759409707453513,34.39139147202174
2016-10-31,39.99697270701009,12.557461007788618,36.25886661070649,9.718341725968546,3.7706696881001354,0.8112819204807923,26.42046030618811
2016-11-30,39.69289963477188,11.785947907467683,35.21985140542189,8.630239229814874,4.481754505220387,1.431064230741726,19.63890452252494
2016-12-31,45.69349027449085,13.916921376701325,41.450166684325026,10.303157929851803,4.6780924097664895,1.3706166003179807,15.518817207665853
2017-01-31,45.70254129491826,13.648643849197255,42.260653943143865,10.548559809804603,3.513473127237571,0.7663928096893654,13.703788135721478
2017-02-28,44.17507328093052,12.929626119988304,41.28715366550854,10.224138375726485,2.9476830538007475,0.3862306555023506,14.666793714499189
2017-03-31,45.76437941033353,14.195545048482957,43.667248650904625,11.517582642935938,1.9014378348265284,0.24029334786758627,19.210167838040217
2017-04-30,43.451155962877806,8.609281593561173,61.052629093991385,9.937174654752017,0.6210854236036539,-17.40110508037938,27.63127898954683
2017-05-31,26.522425730061787,6.458989904612623,88.2979965209961,8.812870593240826,-7.538423050875946,-14.40797897748729,32.8037394599248
2017-06-30,31.221668012274638,8.820552082856496,40.366726633575226,10.48306910056207,-8.043354861810803,-2.3875854261219502,35.5837061199877
2017-07-31,39.19642680594998,12.170951592505618,47.59936556316191,12.368409946721087,-8.185001019428494,-1.2274445576533195,43.23861893338542
2017-08-31,36.34363680244774,9.864456659202935,40.94432863881511,10.111600457340158,-4.295869288986088,-1.00778024535506,39.31345699679467
2017-09-30,34.33736699223518,4.691001732978556,39.50411458611488,6.093930898772346,-4.97947153829866,-1.8710246495902538,32.79883683787452
2017-10-31,29.80930141111215,0.022515121486879168,38.24229976887344,2.0252708321617496,-8.245937510043062,-2.353695222206654,25.48213037944609
2017-11-30,33.02234895428022,0.1329229161143303,41.27669233282407,1.6987968744503128,-8.070740626752377,-1.9496520848737822,20.835501572158602
2017-12-31,35.682644126556255,-0.2839304425062672,43.35151102145513,1.642681450372742,-7.511493277405539,-2.3577856071774037,13.3182315273631
2018-01-31,42.743007693239434,1.7157540319747822,46.05586899672785,1.54702184265179,-3.072869285941124,-0.5733639142846548,9.439455309194908
2018-02-28,29.64483293074937,1.8925498518205823,38.425461318166484,4.042284967333433,-8.520212075939137,-2.2009311861225536,12.249384681866408
2018-03-31,28.92204800712806,5.456317874052191,39.77567442514563,7.350286285122556,-10.651814853952777,-2.2441622857605257,20.94590627442124
2018-04-30,24.601808653937447,5.325171181393994,35.55244202282694,7.30683471792274,-10.739155209230052,-1.8817013887481557,27.639298282729253
2018-05-31,28.48532963151573,7.983779576196466,39.68319327023722,9.187749649247815,-10.978009747080906,-1.8740934135933076,32.58065542226197
2018-06-30,31.506081013910233,9.06325000793703,42.61482217465677,10.169887080884749,-10.93863748908043,-1.9782907304744566,37.019893746222216
