Date,Temp
1981-01-31,17.712903225806453
1981-02-28,17.678571428571427
1981-03-31,13.5
1981-04-30,12.356666666666666
1981-05-31,9.490322580645161
1981-06-30,7.306666666666667
1981-07-31,7.577419354838709
1981-08-31,7.238709677419355
1981-09-30,10.143333333333334
1981-10-31,10.087096774193547
1981-11-30,11.889999999999999
1981-12-31,13.680645161290323
1982-01-31,16.567741935483873
1982-02-28,15.921428571428573
1982-03-31,14.935483870967742
1982-04-30,11.47
1982-05-31,9.583870967741936
1982-06-30,5.6066666666666665
1982-07-31,4.641935483870968
1982-08-31,7.903225806451613
1982-09-30,7.28
1982-10-31,9.54516129032258
1982-11-30,12.486666666666668
1982-12-31,13.754838709677419
1983-01-31,13.180645161290323
1983-02-28,16.807142857142857
1983-03-31,15.77741935483871
1983-04-30,10.596666666666666
1983-05-31,10.116129032258065
1983-06-30,6.6
1983-07-31,6.890322580645161
1983-08-31,8.706451612903225
1983-09-30,9.21
1983-10-31,10.312903225806451
1983-11-30,11.993333333333334
1983-12-31,14.396774193548387
1984-01-31,14.30967741935484
1984-02-29,14.944827586206896
1984-03-31,12.86774193548387
1984-04-30,10.75
1984-05-31,8.112903225806452
1984-06-30,7.73
1984-07-31,5.987096774193549
1984-08-31,8.696774193548388
1984-09-30,8.046666666666667
1984-10-31,10.63225806451613
1984-11-30,12.623333333333333
1984-12-31,12.643333333333334
1985-01-31,14.219354838709679
1985-02-28,14.032142857142857
1985-03-31,15.87741935483871
1985-04-30,12.976666666666667
1985-05-31,9.419354838709678
1985-06-30,7.073333333333333
1985-07-31,6.135483870967741
1985-08-31,7.635483870967741
1985-09-30,8.803333333333335
1985-10-31,10.490322580645161
1985-11-30,13.073333333333332
1985-12-31,14.109677419354838
1986-01-31,13.825806451612904
1986-02-28,14.196428571428571
1986-03-31,14.69032258064516
1986-04-30,11.653333333333334
1986-05-31,10.274193548387096
1986-06-30,7.526666666666667
1986-07-31,6.961290322580646
1986-08-31,7.387096774193548
1986-09-30,8.933333333333334
1986-10-31,9.683870967741935
1986-11-30,11.793333333333333
1986-12-31,12.935483870967742
1987-01-31,13.235483870967743
1987-02-28,13.889285714285714
1987-03-31,12.619354838709677
1987-04-30,12.25
1987-05-31,9.806451612903226
1987-06-30,8.273333333333333
1987-07-31,5.983870967741935
1987-08-31,8.02258064516129
1987-09-30,9.81
1987-10-31,10.238709677419354
1987-11-30,13.15
1987-12-31,13.254838709677419
1988-01-31,16.493548387096773
1988-02-29,14.524137931034483
1988-03-31,14.748387096774193
1988-04-30,12.833333333333334
1988-05-31,11.387096774193548
1988-06-30,8.386666666666667
1988-07-31,8.23225806451613
1988-08-31,8.725806451612904
1988-09-30,9.883333333333333
1988-10-31,10.890322580645162
1988-11-30,12.253333333333334
1988-12-31,15.436666666666667
1989-01-31,15.180645161290323
1989-02-28,16.37142857142857
1989-03-31,15.803225806451612
1989-04-30,12.563333333333333
