id,value,timestamp
0,0.7855,1990-01-01 00:00:00
0,0.7818,1990-01-01 01:00:00
0,0.7867,1990-01-01 02:00:00
0,0.786,1990-01-01 03:00:00
0,0.7849,1990-01-01 04:00:00
0,0.7866,1990-01-01 05:00:00
0,0.7886,1990-01-01 06:00:00
0,0.791,1990-01-01 07:00:00
0,0.7939,1990-01-01 08:00:00
0,0.7894,1990-01-01 09:00:00
0,0.7917,1990-01-01 10:00:00
0,0.7941,1990-01-01 11:00:00
0,0.7935,1990-01-01 12:00:00
0,0.7954,1990-01-01 13:00:00
0,0.7751,1990-01-01 14:00:00
0,0.7622,1990-01-01 15:00:00
0,0.7583,1990-01-01 16:00:00
0,0.7605,1990-01-01 17:00:00
0,0.7635,1990-01-01 18:00:00
0,0.766,1990-01-01 19:00:00
0,0.7685,1990-01-01 20:00:00
0,0.7702,1990-01-01 21:00:00
0,0.7735,1990-01-01 22:00:00
0,0.7655,1990-01-01 23:00:00
0,0.7665,1990-01-02 00:00:00
0,0.7575,1990-01-02 01:00:00
0,0.7545,1990-01-02 02:00:00
0,0.7493,1990-01-02 03:00:00
0,0.7521,1990-01-02 04:00:00
0,0.7521,1990-01-02 05:00:00
0,0.7457,1990-01-02 06:00:00
0,0.75,1990-01-02 07:00:00
0,0.7567,1990-01-02 08:00:00
0,0.7595,1990-01-02 09:00:00
0,0.7586,1990-01-02 10:00:00
0,0.7646,1990-01-02 11:00:00
0,0.7652,1990-01-02 12:00:00
0,0.765,1990-01-02 13:00:00
0,0.7605,1990-01-02 14:00:00
0,0.7601,1990-01-02 15:00:00
0,0.7635,1990-01-02 16:00:00
0,0.7596,1990-01-02 17:00:00
0,0.7585,1990-01-02 18:00:00
0,0.7611,1990-01-02 19:00:00
0,0.7596,1990-01-02 20:00:00
0,0.7607,1990-01-02 21:00:00
0,0.7607,1990-01-02 22:00:00
0,0.758,1990-01-02 23:00:00
0,0.761,1990-01-03 00:00:00
0,0.7635,1990-01-03 01:00:00
0,0.7563,1990-01-03 02:00:00
0,0.7536,1990-01-03 03:00:00
0,0.7549,1990-01-03 04:00:00
0,0.7565,1990-01-03 05:00:00
0,0.752,1990-01-03 06:00:00
0,0.7504,1990-01-03 07:00:00
0,0.7474,1990-01-03 08:00:00
0,0.7469,1990-01-03 09:00:00
0,0.7452,1990-01-03 10:00:00
0,0.7471,1990-01-03 11:00:00
0,0.7523,1990-01-03 12:00:00
0,0.7548,1990-01-03 13:00:00
0,0.7561,1990-01-03 14:00:00
0,0.7605,1990-01-03 15:00:00
0,0.7669,1990-01-03 16:00:00
0,0.765,1990-01-03 17:00:00
0,0.765,1990-01-03 18:00:00
0,0.763,1990-01-03 19:00:00
0,0.7643,1990-01-03 20:00:00
0,0.7663,1990-01-03 21:00:00
0,0.7663,1990-01-03 22:00:00
0,0.765,1990-01-03 23:00:00
0,0.7654,1990-01-04 00:00:00
0,0.7653,1990-01-04 01:00:00
0,0.77,1990-01-04 02:00:00
0,0.7732,1990-01-04 03:00:00
0,0.7705,1990-01-04 04:00:00
0,0.7655,1990-01-04 05:00:00
0,0.7663,1990-01-04 06:00:00
0,0.766,1990-01-04 07:00:00
0,0.756,1990-01-04 08:00:00
0,0.7503,1990-01-04 09:00:00
0,0.75,1990-01-04 10:00:00
0,0.7457,1990-01-04 11:00:00
0,0.752,1990-01-04 12:00:00
0,0.7552,1990-01-04 13:00:00
0,0.7546,1990-01-04 14:00:00
0,0.7565,1990-01-04 15:00:00
0,0.7577,1990-01-04 16:00:00
0,0.7585,1990-01-04 17:00:00
0,0.7587,1990-01-04 18:00:00
0,0.76,1990-01-04 19:00:00
0,0.7669,1990-01-04 20:00:00
0,0.7645,1990-01-04 21:00:00
0,0.7625,1990-01-04 22:00:00
0,0.7617,1990-01-04 23:00:00
0,0.7605,1990-01-05 00:00:00
0,0.764,1990-01-05 01:00:00
0,0.764,1990-01-05 02:00:00
0,0.7653,1990-01-05 03:00:00
0,0.7623,1990-01-05 04:00:00
0,0.7668,1990-01-05 05:00:00
0,0.766,1990-01-05 06:00:00
0,0.772,1990-01-05 07:00:00
0,0.7678,1990-01-05 08:00:00
0,0.7693,1990-01-05 09:00:00
0,0.7676,1990-01-05 10:00:00
0,0.771,1990-01-05 11:00:00
0,0.7718,1990-01-05 12:00:00
0,0.7775,1990-01-05 13:00:00
0,0.7725,1990-01-05 14:00:00
0,0.7751,1990-01-05 15:00:00
0,0.774,1990-01-05 16:00:00
0,0.7743,1990-01-05 17:00:00
0,0.775,1990-01-05 18:00:00
0,0.7756,1990-01-05 19:00:00
0,0.7792,1990-01-05 20:00:00
0,0.784,1990-01-05 21:00:00
0,0.7833,1990-01-05 22:00:00
0,0.7901,1990-01-05 23:00:00
0,0.7852,1990-01-06 00:00:00
0,0.7851,1990-01-06 01:00:00
0,0.7846,1990-01-06 02:00:00
0,0.7875,1990-01-06 03:00:00
0,0.7853,1990-01-06 04:00:00
0,0.7916,1990-01-06 05:00:00
0,0.7964,1990-01-06 06:00:00
0,0.7974,1990-01-06 07:00:00
0,0.799,1990-01-06 08:00:00
0,0.7974,1990-01-06 09:00:00
0,0.8025,1990-01-06 10:00:00
0,0.8066,1990-01-06 11:00:00
0,0.7965,1990-01-06 12:00:00
0,0.7913,1990-01-06 13:00:00
0,0.7804,1990-01-06 14:00:00
0,0.7815,1990-01-06 15:00:00
0,0.7899,1990-01-06 16:00:00
0,0.7915,1990-01-06 17:00:00
0,0.7819,1990-01-06 18:00:00
0,0.7838,1990-01-06 19:00:00
0,0.7839,1990-01-06 20:00:00
0,0.7858,1990-01-06 21:00:00
0,0.7859,1990-01-06 22:00:00
0,0.7792,1990-01-06 23:00:00
0,0.7897,1990-01-07 00:00:00
0,0.7916,1990-01-07 01:00:00
0,0.7938,1990-01-07 02:00:00
0,0.794,1990-01-07 03:00:00
0,0.7859,1990-01-07 04:00:00
0,0.785,1990-01-07 05:00:00
0,0.79,1990-01-07 06:00:00
0,0.7925,1990-01-07 07:00:00
0,0.7953,1990-01-07 08:00:00
0,0.7992,1990-01-07 09:00:00
0,0.7977,1990-01-07 10:00:00
0,0.8025,1990-01-07 11:00:00
0,0.8061,1990-01-07 12:00:00
0,0.8071,1990-01-07 13:00:00
0,0.8045,1990-01-07 14:00:00
0,0.807,1990-01-07 15:00:00
0,0.808,1990-01-07 16:00:00
0,0.8162,1990-01-07 17:00:00
0,0.8205,1990-01-07 18:00:00
